,ticks
1905,RRC
1906,RNGR
1907,PACK
1908,RJF
1909,RYAM
1910,RYN
1911,RTX
1912,RMAX
1913,RC
1914,RCA
1915,RCB
1916,RCP
1917,RLGY
1918,O
1919,RLH
1920,RWT
1921,RBC
1922,RM
1923,RF
1924,RGS
1925,RGA
1926,RZA
1927,RZB
1928,RS
1929,RELX
1930,RNR
1931,SOL
1932,RENN
1933,RPLA
1934,RSG
1935,REZI
1936,RMD
1937,RFP
1938,QSR
1939,RPAI
1940,RVI
1941,REVG
1942,REV
1943,RVLV
1944,REX
1945,REXR
1946,RXN
1947,RH
1948,RNG
1949,RIO
1950,RBA
1951,RAD
1952,RFM
1953,RMM
1954,RMI
1955,RIV
1956,RSF
1957,OPP
1958,RLI
1959,RLJ
1960,RMG
1961,RHI
1962,ROK
1963,RCI
1964,ROG
1965,ROL
1966,ROP
1967,RST
1968,RY
1969,RCL
1970,RGT
1971,RMT
1972,RVT
1973,RES
1974,RPM
1975,RPT
1976,RYB
1977,R
1978,RYI
1979,RHP
1980,SPGI
1981,SBR
1982,SB
1983,SFE
1984,SAFE
1985,SAIL
1986,CRM
1987,SMM
1988,SBH
1989,SJT
1990,SD
1991,PER
1992,SAND          
1993,SC
1994,SAP
1995,SAF
1996,SAK
1997,SAR
1998,SSL
1999,BFS
2000,SCPE
2001,SLB
2002,SNDR
2003,SWM
2004,SAIC
2005,SALT
2006,SBBA
2007,STNG
2008,SMG
2009,KTF
2010,KSM
2011,SRL
2012,SCU
2013,SCVX
2014,SE
2015,SA
2016,CKH
2017,SMHI
2018,SEE
2019,SEAS
2020,WTTR
2021,SEM
2022,SLQT
2023,SRE
2024,SREA
2025,ST
2026,SXT
2027,SQNS
2028,SRG
2029,SCI
2030,SERV
2031,NOW
2032,SFL
2033,SHAK
2034,SJR
2035,SHLX
2036,SHW
2037,FOUR
2038,SHG
2039,SHOP
2040,SSTK
2041,SBSW
2042,SIG
2043,SBOW
2044,SI
2045,SPG
2046,SSD
2047,SHI
2048,SITC
2049,SITE
2050,SIX
2051,TSLX
2052,SJW
2053,SKM
2054,SKX
2055,SKY
2056,SLG
2057,WORK
2058,SM
2059,SMAR
2060,SNN
2061,SNAP
2062,SNA
2063,IPOB
2064,IPOC
2065,SQM
2066,SOGO
2067,SOI
2068,SWI
2069,SAH
2070,SON
2071,SNE
2072,SOS
2073,SOR
2074,SJI
2075,SJIJ
2076,SJIU
2077,SO
2078,SOJA
2079,SOJB
2080,SOJC
2081,SOJD
2082,SOLN
2083,SCCO
2084,LUV
2085,SWX
2086,SWN
2087,SPAQ
2088,SPE
2089,SPB           
2090,SR
2091,SPR
2092,SAVE
2093,SRC
2094,SPOT
2095,SRLP
2096,SII
2097,SPXC
2098,FLOW
2099,SQ
